Observation    Measured       Simulated      Weight          Residual   Sensitive
Date20040916  0.000000E+00  1.284880E-04  1.000000E+00  -1.284880E-04      YES
Date20040917  0.000000E+00  1.782050E-04  1.000000E+00  -1.782050E-04      YES
Date20040918  0.000000E+00  9.592260E-05  1.000000E+00  -9.592260E-05      YES
Date20040919  0.000000E+00  8.298780E-05  1.000000E+00  -8.298780E-05      YES
Date20040920  0.000000E+00  6.970820E-05  1.000000E+00  -6.970820E-05      YES
Date20040921  0.000000E+00  5.370650E-05  1.000000E+00  -5.370650E-05      YES
Date20040922  1.000000E-02  6.606030E-03  1.000000E+00  +3.393970E-03      YES
Date20040923  2.000000E-02  4.288300E-02  1.000000E+00  -2.288300E-02      YES
Date20040924  3.000000E-02  1.133440E-01  1.000000E+00  -8.334400E-02      YES
Date20040925  3.000000E-02  1.969580E-01  1.000000E+00  -1.669580E-01      YES
Date20040926  3.000000E-02  2.635150E-01  1.000000E+00  -2.335150E-01      YES
Date20040927  2.000000E-02  2.763070E-01  1.000000E+00  -2.563070E-01      YES
Date20040928  2.000000E-02  2.573670E-01  1.000000E+00  -2.373670E-01      YES
Date20040929  2.000000E-02  2.451990E-01  1.000000E+00  -2.251990E-01      YES
Date20040930  3.000000E-02  2.565240E-01  1.000000E+00  -2.265240E-01      YES
Date20041001  3.000000E-02  2.768800E-01  1.000000E+00  -2.468800E-01      YES
Date20041002  5.000000E-02  2.591920E-01  1.000000E+00  -2.091920E-01      YES
Date20041003  5.000000E-02  2.450090E-01  1.000000E+00  -1.950090E-01      YES
Date20041004  3.000000E-02  2.517500E-01  1.000000E+00  -2.217500E-01      YES
Date20041005  2.000000E-02  2.304070E-01  1.000000E+00  -2.104070E-01      YES
Date20041006  2.000000E-02  2.016630E-01  1.000000E+00  -1.816630E-01      YES
Date20041007  2.000000E-02  2.116760E-01  1.000000E+00  -1.916760E-01      YES
Date20041008  2.000000E-02  2.391290E-01  1.000000E+00  -2.191290E-01      YES
Date20041009  3.000000E-02  2.390940E-01  1.000000E+00  -2.090940E-01      YES
Date20041010  2.000000E-02  2.309100E-01  1.000000E+00  -2.109100E-01      YES
Date20041011  2.000000E-02  2.140790E-01  1.000000E+00  -1.940790E-01      YES
Date20041012  1.000000E-02  1.863000E-01  1.000000E+00  -1.763000E-01      YES
Date20041013  1.000000E-02  1.671170E-01  1.000000E+00  -1.571170E-01      YES
Date20041014  1.000000E-02  1.471550E-01  1.000000E+00  -1.371550E-01      YES
Date20041015  1.000000E-02  1.285280E-01  1.000000E+00  -1.185280E-01      YES
Date20041016  5.000000E-02  1.358210E-01  1.000000E+00  -8.582100E-02      YES
Date20041017  3.000000E-02  1.726010E-01  1.000000E+00  -1.426010E-01      YES
Date20041018  3.000000E-02  1.906390E-01  1.000000E+00  -1.606390E-01      YES
Date20041019  2.000000E-02  1.785500E-01  1.000000E+00  -1.585500E-01      YES
Date20041020  2.000000E-02  1.614420E-01  1.000000E+00  -1.414420E-01      YES
Date20041021  2.000000E-02  1.553020E-01  1.000000E+00  -1.353020E-01      YES
Date20041022  2.000000E-02  1.588820E-01  1.000000E+00  -1.388820E-01      YES
Date20041023  5.000000E-02  1.442730E-01  1.000000E+00  -9.427300E-02      YES
Date20041024  3.000000E-02  1.227490E-01  1.000000E+00  -9.274900E-02      YES
Date20041025  3.000000E-02  1.072600E-01  1.000000E+00  -7.726000E-02      YES
Date20041026  2.000000E-02  9.496330E-02  1.000000E+00  -7.496330E-02      YES
Date20041027  3.000000E-02  1.219390E-01  1.000000E+00  -9.193900E-02      YES
Date20041028  3.000000E-02  1.698580E-01  1.000000E+00  -1.398580E-01      YES
Date20041029  3.000000E-02  1.736890E-01  1.000000E+00  -1.436890E-01      YES
Date20041030  3.000000E-02  1.626520E-01  1.000000E+00  -1.326520E-01      YES
Date20041031  5.000000E-02  1.670050E-01  1.000000E+00  -1.170050E-01      YES
Date20041101  3.000000E-02  1.582200E-01  1.000000E+00  -1.282200E-01      YES
Date20041102  2.000000E-02  1.445390E-01  1.000000E+00  -1.245390E-01      YES
Date20041103  2.000000E-02  1.430680E-01  1.000000E+00  -1.230680E-01      YES
Date20041104  2.000000E-02  1.403780E-01  1.000000E+00  -1.203780E-01      YES
Date20041105  3.000000E-02  1.303330E-01  1.000000E+00  -1.003330E-01      YES
Date20041106  3.000000E-02  1.231780E-01  1.000000E+00  -9.317800E-02      YES
Date20041107  5.000000E-02  1.607340E-01  1.000000E+00  -1.107340E-01      YES
Date20041108  1.000000E-01  2.639850E-01  1.000000E+00  -1.639850E-01      YES
Date20041109  2.400000E-01  3.968660E-01  1.000000E+00  -1.568660E-01      YES
Date20041110  4.000000E-01  5.635900E-01  1.000000E+00  -1.635900E-01      YES
Date20041111  3.400000E-01  6.879660E-01  1.000000E+00  -3.479660E-01      YES
Date20041112  3.400000E-01  7.045030E-01  1.000000E+00  -3.645030E-01      YES
Date20041113  5.200000E-01  7.771380E-01  1.000000E+00  -2.571380E-01      YES
Date20041114  5.200000E-01  9.172000E-01  1.000000E+00  -3.972000E-01      YES
Date20041115  4.600000E-01  9.527230E-01  1.000000E+00  -4.927230E-01      YES
Date20041116  5.200000E-01  9.197710E-01  1.000000E+00  -3.997710E-01      YES
Date20041117  5.600000E-01  9.411920E-01  1.000000E+00  -3.811920E-01      YES
Date20041118  7.100000E-01  1.012460E+00  1.000000E+00  -3.024600E-01      YES
