time,date,hour,precip [mm/day],KS_53719235 [m3/s]
226,2001-08-15,00:00:00.00,0,0.0109437
227,2001-08-16,00:00:00.00,0,0.0102162
228,2001-08-17,00:00:00.00,3.2,0.0102619
229,2001-08-18,00:00:00.00,7.5,0.0128961
230,2001-08-19,00:00:00.00,0,0.0160899
231,2001-08-20,00:00:00.00,17.1,0.0241844
232,2001-08-21,00:00:00.00,12.5,0.044938
233,2001-08-22,00:00:00.00,2.4,0.0527759
234,2001-08-23,00:00:00.00,0,0.0379291
235,2001-08-24,00:00:00.00,0,0.0293724
236,2001-08-25,00:00:00.00,0,0.0269451
237,2001-08-26,00:00:00.00,0,0.0226493
238,2001-08-27,00:00:00.00,0,0.0203894
239,2001-08-28,00:00:00.00,6.4,0.0205301
240,2001-08-29,00:00:00.00,0,0.0225026
241,2001-08-30,00:00:00.00,0,0.0200337
242,2001-08-31,00:00:00.00,0,0.0164255
243,2001-09-01,00:00:00.00,7.6,0.0182283
244,2001-09-02,00:00:00.00,13.3,0.0275908
245,2001-09-03,00:00:00.00,0.9,0.0347187
246,2001-09-04,00:00:00.00,4.4,0.0330015
247,2001-09-05,00:00:00.00,1.5,0.0314412
248,2001-09-06,00:00:00.00,0,0.0266794
249,2001-09-07,00:00:00.00,2,0.0217259
250,2001-09-08,00:00:00.00,10.3,0.0271181
251,2001-09-09,00:00:00.00,5.1,0.0382796
252,2001-09-10,00:00:00.00,14.6,0.061042
253,2001-09-11,00:00:00.00,13.7,0.130195
254,2001-09-12,00:00:00.00,2.2,0.204782
255,2001-09-13,00:00:00.00,3.2,0.209797
256,2001-09-14,00:00:00.00,3.8,0.210278
257,2001-09-15,00:00:00.00,0,0.21832
258,2001-09-16,00:00:00.00,1.1,0.181462
259,2001-09-17,00:00:00.00,2.2,0.16208
260,2001-09-18,00:00:00.00,0.9,0.16238
261,2001-09-19,00:00:00.00,3.8,0.157269
262,2001-09-20,00:00:00.00,1.3,0.163736
263,2001-09-21,00:00:00.00,4.2,0.166403
264,2001-09-22,00:00:00.00,3.1,0.176394
265,2001-09-23,00:00:00.00,0,0.173564
266,2001-09-24,00:00:00.00,3.2,0.153013
267,2001-09-25,00:00:00.00,5.7,0.172181
268,2001-09-26,00:00:00.00,6.5,0.221512
269,2001-09-27,00:00:00.00,0.9,0.241071
270,2001-09-28,00:00:00.00,4.4,0.231056
271,2001-09-29,00:00:00.00,2,0.237319
272,2001-09-30,00:00:00.00,0.4,0.222069
273,2001-10-01,00:00:00.00,3,0.190004
274,2001-10-02,00:00:00.00,2.3,0.199171
275,2001-10-03,00:00:00.00,0,0.191219
276,2001-10-04,00:00:00.00,10,0.203377
277,2001-10-05,00:00:00.00,4.5,0.281836
278,2001-10-06,00:00:00.00,0,0.286772
279,2001-10-07,00:00:00.00,0,0.211046
280,2001-10-08,00:00:00.00,0,0.166951
281,2001-10-09,00:00:00.00,0.4,0.14502
282,2001-10-10,00:00:00.00,0,0.125297
283,2001-10-11,00:00:00.00,0,0.111327
284,2001-10-12,00:00:00.00,0,0.0960662
285,2001-10-13,00:00:00.00,0,0.0852228
286,2001-10-14,00:00:00.00,0,0.0749277
287,2001-10-15,00:00:00.00,0,0.0660465
288,2001-10-16,00:00:00.00,0,0.0584738
289,2001-10-17,00:00:00.00,0,0.0513833
290,2001-10-18,00:00:00.00,0,0.0455901
291,2001-10-19,00:00:00.00,0,0.0400463
292,2001-10-20,00:00:00.00,0,0.0355267
293,2001-10-21,00:00:00.00,0,0.0312403
294,2001-10-22,00:00:00.00,3.7,0.0324862
295,2001-10-23,00:00:00.00,4.7,0.0437351
296,2001-10-24,00:00:00.00,0.4,0.0493434
297,2001-10-25,00:00:00.00,1.8,0.0402846
298,2001-10-26,00:00:00.00,0,0.0333685
299,2001-10-27,00:00:00.00,0,0.0283627
300,2001-10-28,00:00:00.00,3.5,0.0283324
301,2001-10-29,00:00:00.00,5,0.0469181
302,2001-10-30,00:00:00.00,0.8,0.0592647
303,2001-10-31,00:00:00.00,0,0.0458671
304,2001-11-01,00:00:00.00,2.6,0.0377221
305,2001-11-02,00:00:00.00,2.3,0.0484458
306,2001-11-03,00:00:00.00,0.8,0.0510125
307,2001-11-04,00:00:00.00,0,0.0401103
308,2001-11-05,00:00:00.00,0.2,0.0304873
309,2001-11-06,00:00:00.00,0.5,0.0256632
310,2001-11-07,00:00:00.00,1.5,0.0263827
311,2001-11-08,00:00:00.00,12.4,0.0741054
312,2001-11-09,00:00:00.00,30.6,0.382797
313,2001-11-10,00:00:00.00,1,0.729114
314,2001-11-11,00:00:00.00,0,0.587829
315,2001-11-12,00:00:00.00,0,0.377857
316,2001-11-13,00:00:00.00,5,0.452566
317,2001-11-14,00:00:00.00,0.3,0.470807
318,2001-11-15,00:00:00.00,0,0.382559
319,2001-11-16,00:00:00.00,1.1,0.307192
320,2001-11-17,00:00:00.00,0,0.281218
321,2001-11-18,00:00:00.00,0,0.245889
322,2001-11-19,00:00:00.00,1.3,0.215034
323,2001-11-20,00:00:00.00,2.1,0.237365
