time,date,hour,precip [mm/day],KS_53719235 [m3/s]
276,2003-07-04,00:00:00.00,0.2,0
277,2003-07-05,00:00:00.00,3.2,0
278,2003-07-06,00:00:00.00,0.9,0
279,2003-07-07,00:00:00.00,0,0
280,2003-07-08,00:00:00.00,0,0
281,2003-07-09,00:00:00.00,0,0
282,2003-07-10,00:00:00.00,0.9,0
283,2003-07-11,00:00:00.00,0,0
284,2003-07-12,00:00:00.00,0,0
285,2003-07-13,00:00:00.00,0,0
286,2003-07-14,00:00:00.00,0,0
287,2003-07-15,00:00:00.00,0,0
288,2003-07-16,00:00:00.00,0,0
289,2003-07-17,00:00:00.00,0,0
290,2003-07-18,00:00:00.00,8.7,0
291,2003-07-19,00:00:00.00,0,0
292,2003-07-20,00:00:00.00,0,0
293,2003-07-21,00:00:00.00,0,0
294,2003-07-22,00:00:00.00,1.8,0
295,2003-07-23,00:00:00.00,0,0
296,2003-07-24,00:00:00.00,3.4,0
297,2003-07-25,00:00:00.00,15.2,0
298,2003-07-26,00:00:00.00,0,0
299,2003-07-27,00:00:00.00,0,0
300,2003-07-28,00:00:00.00,27.1,0
301,2003-07-29,00:00:00.00,3.8,0
302,2003-07-30,00:00:00.00,0.4,0
303,2003-07-31,00:00:00.00,0,0
304,2003-08-01,00:00:00.00,0.2,0
305,2003-08-02,00:00:00.00,0,0
306,2003-08-03,00:00:00.00,0,0
307,2003-08-04,00:00:00.00,0,0
308,2003-08-05,00:00:00.00,0,0
309,2003-08-06,00:00:00.00,0,0
310,2003-08-07,00:00:00.00,0,0
311,2003-08-08,00:00:00.00,0,0
312,2003-08-09,00:00:00.00,0,0
313,2003-08-10,00:00:00.00,0,0
314,2003-08-11,00:00:00.00,0,0
315,2003-08-12,00:00:00.00,0,0
316,2003-08-13,00:00:00.00,0,0
317,2003-08-14,00:00:00.00,0,0
318,2003-08-15,00:00:00.00,1.6,0
319,2003-08-16,00:00:00.00,0,0
320,2003-08-17,00:00:00.00,0,0
321,2003-08-18,00:00:00.00,0,0
322,2003-08-19,00:00:00.00,2.2,0
323,2003-08-20,00:00:00.00,0,0
324,2003-08-21,00:00:00.00,0,0
325,2003-08-22,00:00:00.00,0,0
326,2003-08-23,00:00:00.00,0,0
327,2003-08-24,00:00:00.00,0.4,0
328,2003-08-25,00:00:00.00,0,0
329,2003-08-26,00:00:00.00,0,0
330,2003-08-27,00:00:00.00,0,0
331,2003-08-28,00:00:00.00,0,0
332,2003-08-29,00:00:00.00,0.9,0
333,2003-08-30,00:00:00.00,6.9,0
334,2003-08-31,00:00:00.00,1.6,0
335,2003-09-01,00:00:00.00,5.6,0
336,2003-09-02,00:00:00.00,4.9,0
337,2003-09-03,00:00:00.00,1.1,0
338,2003-09-04,00:00:00.00,0,0
339,2003-09-05,00:00:00.00,0,0
340,2003-09-06,00:00:00.00,0,0
341,2003-09-07,00:00:00.00,0,0
342,2003-09-08,00:00:00.00,0,0
343,2003-09-09,00:00:00.00,0,0
344,2003-09-10,00:00:00.00,5,0
345,2003-09-11,00:00:00.00,3.7,0
346,2003-09-12,00:00:00.00,3.7,0
347,2003-09-13,00:00:00.00,4.2,0
348,2003-09-14,00:00:00.00,3.2,0
349,2003-09-15,00:00:00.00,0,0
350,2003-09-16,00:00:00.00,0,0
351,2003-09-17,00:00:00.00,0,0
352,2003-09-18,00:00:00.00,0,0
353,2003-09-19,00:00:00.00,0,0
354,2003-09-20,00:00:00.00,0,0
355,2003-09-21,00:00:00.00,0,0
356,2003-09-22,00:00:00.00,0,0
357,2003-09-23,00:00:00.00,0,0
358,2003-09-24,00:00:00.00,1.3,0
359,2003-09-25,00:00:00.00,0,0
360,2003-09-26,00:00:00.00,0,0
361,2003-09-27,00:00:00.00,0,0
362,2003-09-28,00:00:00.00,0,0
363,2003-09-29,00:00:00.00,3,0
364,2003-09-30,00:00:00.00,1.3,0
365,2003-10-01,00:00:00.00,0,0
366,2003-10-02,00:00:00.00,0,0
367,2003-10-03,00:00:00.00,1.1,0
368,2003-10-04,00:00:00.00,0.6,0
369,2003-10-05,00:00:00.00,1,0
370,2003-10-06,00:00:00.00,4.5,0
371,2003-10-07,00:00:00.00,3.4,0
372,2003-10-08,00:00:00.00,7,0
373,2003-10-09,00:00:00.00,16.1,0
374,2003-10-10,00:00:00.00,1.2,0
375,2003-10-11,00:00:00.00,0.8,0
376,2003-10-12,00:00:00.00,0.4,0
377,2003-10-13,00:00:00.00,0,0
378,2003-10-14,00:00:00.00,0,0
379,2003-10-15,00:00:00.00,0.8,0
380,2003-10-16,00:00:00.00,0,0
381,2003-10-17,00:00:00.00,0,0
382,2003-10-18,00:00:00.00,0,0
383,2003-10-19,00:00:00.00,0,0
384,2003-10-20,00:00:00.00,0,0
385,2003-10-21,00:00:00.00,0,0
386,2003-10-22,00:00:00.00,9.6,0
387,2003-10-23,00:00:00.00,3,0
388,2003-10-24,00:00:00.00,0,0
389,2003-10-25,00:00:00.00,0.3,0
390,2003-10-26,00:00:00.00,1,0
391,2003-10-27,00:00:00.00,1.8,0
392,2003-10-28,00:00:00.00,0,0
393,2003-10-29,00:00:00.00,0,0
394,2003-10-30,00:00:00.00,7.7,0
395,2003-10-31,00:00:00.00,1,0
396,2003-11-01,00:00:00.00,0,0
397,2003-11-02,00:00:00.00,0,0
398,2003-11-03,00:00:00.00,0,0
399,2003-11-04,00:00:00.00,3.3,0
400,2003-11-05,00:00:00.00,0,0
401,2003-11-06,00:00:00.00,0,0
402,2003-11-07,00:00:00.00,0,0
403,2003-11-08,00:00:00.00,0,0
404,2003-11-09,00:00:00.00,0,0
405,2003-11-10,00:00:00.00,0,0
406,2003-11-11,00:00:00.00,0,0
407,2003-11-12,00:00:00.00,0,0
408,2003-11-13,00:00:00.00,0,0
409,2003-11-14,00:00:00.00,0,0
410,2003-11-15,00:00:00.00,0,0
411,2003-11-16,00:00:00.00,0,0
412,2003-11-17,00:00:00.00,4.4,0
413,2003-11-18,00:00:00.00,1.8,0
414,2003-11-19,00:00:00.00,1,0
415,2003-11-20,00:00:00.00,0,0
416,2003-11-21,00:00:00.00,0,0
417,2003-11-22,00:00:00.00,0,0
418,2003-11-23,00:00:00.00,0,0
419,2003-11-24,00:00:00.00,0,0
420,2003-11-25,00:00:00.00,0,0
421,2003-11-26,00:00:00.00,1.7,0
422,2003-11-27,00:00:00.00,4.8,0
423,2003-11-28,00:00:00.00,0.2,0
424,2003-11-29,00:00:00.00,6.2,0
425,2003-11-30,00:00:00.00,4.2,0
426,2003-12-01,00:00:00.00,0,0
427,2003-12-02,00:00:00.00,0,0
428,2003-12-03,00:00:00.00,0,0
429,2003-12-04,00:00:00.00,0.4,0
430,2003-12-05,00:00:00.00,0.4,0
431,2003-12-06,00:00:00.00,1,0
432,2003-12-07,00:00:00.00,5,0
433,2003-12-08,00:00:00.00,0,0
434,2003-12-09,00:00:00.00,0,0
435,2003-12-10,00:00:00.00,0,0
436,2003-12-11,00:00:00.00,0,0
437,2003-12-12,00:00:00.00,3.2,0
438,2003-12-13,00:00:00.00,2,0
439,2003-12-14,00:00:00.00,13.8,0
440,2003-12-15,00:00:00.00,12.2,0
441,2003-12-16,00:00:00.00,9.1,0
442,2003-12-17,00:00:00.00,2,0
443,2003-12-18,00:00:00.00,0,0
444,2003-12-19,00:00:00.00,0,0
445,2003-12-20,00:00:00.00,0.2,0
446,2003-12-21,00:00:00.00,0.4,0
447,2003-12-22,00:00:00.00,3.8,0
448,2003-12-23,00:00:00.00,5.9,0
449,2003-12-24,00:00:00.00,0,0
450,2003-12-25,00:00:00.00,0,0
451,2003-12-26,00:00:00.00,0,0
452,2003-12-27,00:00:00.00,0,0
453,2003-12-28,00:00:00.00,0,0
454,2003-12-29,00:00:00.00,0,0
455,2003-12-30,00:00:00.00,0,0
456,2003-12-31,00:00:00.00,0,0
457,2004-01-01,00:00:00.00,1,0
458,2004-01-02,00:00:00.00,0.2,0
459,2004-01-03,00:00:00.00,2.8,0
460,2004-01-04,00:00:00.00,0.5,0
461,2004-01-05,00:00:00.00,5.5,0
462,2004-01-06,00:00:00.00,0,0
463,2004-01-07,00:00:00.00,19.6,0
