trial    best fitness   Kal_POROSITY  Kal_FIELD_CAPACITY  Kal_SAT_WILT  Kal_HBV_BETA  Kal_MAX_CAP_RISE_RATE  Kal_MAX_PERC_RATE  Kal_BASEFLOW_COEFF  Kal_BASEFLOW_N  Kal_SAI_HT_RATIO  Kal_MAX_CAPACITY  Kal_MAX_SNOW_CAPACITY  Kal_RAIN_ICEPT_FACT  Kal_SNOW_ICEPT_FACT  Kal_RAIN_ICEPT_PCT  Kal_SNOW_ICEPT_PCT  Kal_MELT_FACTOR  Kal_MIN_MELT_FACTOR  Kal_HBV_MELT_FOR_CORR  Kal_REFREEZE_FACTOR  Kal_HBV_MELT_ASP_CORR   trials remaining
420   1.762564E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.134422E-01  2.451044E+00  1.788246E+00  3.014524E-03  4.143425E-03  9.955624E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.400000E+03
422   1.762564E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.134422E-01  2.451044E+00  2.117900E+00  4.527942E-03  4.143425E-03  9.955624E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.398000E+03
425   1.762564E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.397437E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.134422E-01  2.451044E+00  2.117900E+00  5.346955E-03  4.143425E-03  9.955624E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.395000E+03
428   1.762096E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  2.005406E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.610964E-01  1.734241E+00  2.117900E+00  5.346955E-03  4.143425E-03  9.955624E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.392000E+03
436   1.762096E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  2.005406E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.610964E-01  1.734241E+00  1.408688E+00  5.346955E-03  4.143425E-03  9.955624E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.384000E+03
456   1.762096E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  2.005406E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.610964E-01  1.734241E+00  4.440074E-01  5.346955E-03  4.143425E-03  9.955624E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.364000E+03
460   1.762096E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  2.005406E+00  2.810689E+01  8.753913E-02  4.618157E+00  8.596152E-01  1.734241E+00  4.440074E-01  5.346955E-03  5.166751E-03  8.164396E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.848037E-01  1.139478E-02  8.028082E-01  1.360000E+03
463   1.761139E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.618157E+00  8.596152E-01  1.734241E+00  4.440074E-01  5.346955E-03  5.166751E-03  5.713958E-01  5.364708E-02  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.357000E+03
467   1.761139E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.618157E+00  8.596152E-01  1.734241E+00  4.440074E-01  5.346955E-03  5.166751E-03  5.713958E-01  8.207677E-02  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.353000E+03
472   1.761139E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.618157E+00  7.687382E-01  1.734241E+00  4.440074E-01  5.346955E-03  5.166751E-03  9.077736E-01  4.873569E-02  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.348000E+03
475   1.761036E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.716199E+00  7.687382E-01  1.734241E+00  4.440074E-01  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.345000E+03
483   1.761036E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.734241E+00  3.128173E-01  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.337000E+03
487   1.761036E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.172363E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.734241E+00  3.693805E-01  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.333000E+03
499   1.760283E+02  8.860881E-01  2.095629E-01  2.081462E-01  9.488315E+00  3.179102E+00  2.782731E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.852847E+00  3.693805E-01  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.321000E+03
503   1.706190E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.182329E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.852847E+00  1.039321E+00  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  8.641855E-01  1.317000E+03
521   1.705560E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.852847E+00  1.721012E+00  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.411501E+00  9.812164E-01  1.139478E-02  9.146706E-01  1.299000E+03
529   1.704386E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.852847E+00  1.721012E+00  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.443133E+00  9.812164E-01  1.139478E-02  9.146706E-01  1.291000E+03
536   1.703689E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  5.702105E-01  1.636184E+00  1.721012E+00  5.346955E-03  5.166751E-03  9.077736E-01  1.527886E-01  1.979740E+00  3.443133E+00  9.812164E-01  5.806720E-03  9.146706E-01  1.284000E+03
542   1.703689E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  5.702105E-01  2.092312E+00  1.721012E+00  5.346955E-03  5.166751E-03  9.077248E-01  1.527886E-01  1.979740E+00  3.443133E+00  9.812164E-01  5.806720E-03  9.146706E-01  1.278000E+03
545   1.703689E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  6.498797E-01  1.596356E+00  1.721012E+00  5.346955E-03  5.166751E-03  9.077248E-01  1.527886E-01  1.979740E+00  3.443133E+00  9.812164E-01  5.806720E-03  9.146706E-01  1.275000E+03
554   1.703689E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  4.716199E+00  6.498797E-01  1.596356E+00  2.539376E+00  5.346955E-03  5.166751E-03  9.077248E-01  1.527886E-01  1.979740E+00  3.443133E+00  9.812164E-01  5.806720E-03  9.146706E-01  1.266000E+03
565   1.703415E+02  8.860881E-01  2.095629E-01  2.081462E-01  8.756397E+00  3.179102E+00  1.918330E+01  8.753913E-02  6.668613E+00  6.498797E-01  1.596356E+00  2.539376E+00  5.346955E-03  5.970259E-03  9.077248E-01  1.527886E-01  1.979740E+00  3.443133E+00  9.812164E-01  5.806720E-03  9.146706E-01  1.255000E+03
